Id_aforament,Desc_aforament,Codi_tipus_aforament,Desc_tipus_aforament,Num_carrils,Codi_districte,Codi_Barri,Codi_tipus_equip_mesura,Desc_tipus_equip_mesura,Longitud,Latitud,X_ETRS89,Y_ETRS89
1001,AV. DIAGONAL - TORRE MELINA (Entrada),1,Trànsit,3,4,21,1,Espira,2.10952517290599,41.3837355108734,425545.349,4581739.28
1002,AV. DIAGONAL - AV. SARRIÀ (Entrada),1,Trànsit,2,4,19,1,Espira,2.13996624545115,41.3914833997392,428099.159,4582573.733
1003,AV. DIAGONAL - ADOLF FLORENSA (Entrada),1,Trànsit,3,4,20,1,Espira,2.11646676063538,41.385345761979,426119.141,4581929.154
1004,AV. DIAGONAL - PASCUAL VILA (Sortida),1,Trànsit,4,4,20,1,Espira,2.11625845637075,41.3855740484895,426110.421,4581937.629
1005,AV. DIAGONAL - BEETHOVEN (Sortida),1,Trànsit,5,4,19,1,Espira,2.13989839005131,41.391564053921,428093.575,4582582.743
1007,AV. DIAGONAL- DOCTOR FERRAN (Sortida),1,Trànsit,4,4,20,1,Espira,2.12373816821195,41.3874730063351,426737.938,4582142.098
1008,CAPITÀ ARENAS - MANILA (baixada),1,Trànsit,4,4,21,1,Espira,2.12637832464327,41.3896380640375,426961.1,4582380.23
1009,PG. MANUEL GIRONA - BENET I MATEU (sentit Llobregat),1,Trànsit,3,4,21,1,Espira,2.12763920293606,41.3919462558656,427069.096,4582635.422
1010,AV. DIAGONAL - GANDESA (Sortida),1,Trànsit,4,4,19,1,Espira,2.12857747808993,41.3886843678709,427143.897,4582272.502
1011,AV. DIAGONAL - GANDESA (Entrada),1,Trànsit,3,4,19,1,Espira,2.12863069882455,41.3885945980044,427148.246,4582262.491
1012,AV. DIAGONAL - TORRE MELINA (Lateral Entrada),1,Trànsit,2,4,21,1,Espira,2.11068541931338,41.3838466937179,425642.487,4581750.627
1013,AV. PEDRALBES - PG. MANUEL GIRONA (Baixada),1,Trànsit,2,4,21,2,Infraroig,2.1200198822005,41.38923227805,426429.041,4582340.56
1014,AV. SARRIÀ - DOCTOR FLEMING (pujada),1,Trànsit,4,5,24,1,Espira,2.1359160000107,41.3916298692755,427760.708,4582593.363
1015,AV. SARRIÀ - AV. JOSEP TARRADELLAS,1,Trànsit,4,2,8,1,Espira,2.14307827376168,41.3905703600706,428358.332,4582469.791
1016,AV. ESPLUGUES - SANTA CATERINA DE SIENA (Besós),1,Trànsit,1,4,21,1,Espira,2.11072370495595,41.3909736513673,425653.808,4582541.82
1018,AV. DIAGONAL - TORRE MELINA (Sortida),1,Trànsit,4,4,21,1,Espira,2.10848537576114,41.3835833030717,425458.234,4581723.276
1021,GONZÁLEZ TABLAS - AV. EXÈRCIT (Baixada),1,Trànsit,2,4,21,2,Infraroig,2.11054763467226,41.3848607688299,425632.122,4581863.327
1022,AV. PEDRALBES - PG. MANUEL GIRONA (Pujada),1,Trànsit,2,4,21,2,Infraroig,2.11915017830002,41.3899967348895,426357.192,4582426.167
1026,AV. ESPLUGUES - MIRET I SANS (Llobregat),1,Trànsit,2,4,21,1,Espira,2.11068650735979,41.3910102929535,425650.74,4582545.919
