Any,Id_aforament,Mes,Codi_tipus_dia,Desc_tipus_dia,Valor_IMD
2025,10001,1,1,dilluns,9375
2025,10001,1,2,laborables,9327
2025,10001,1,3,divendres,9911
2025,10001,1,4,dissabte,8219
2025,10001,1,5,diumenge,6167
2025,10001,2,1,dilluns,9444
2025,10001,2,2,laborables,9724
2025,10001,2,3,divendres,10427
2025,10001,2,4,dissabte,8553
2025,10001,2,5,diumenge,6717
2025,10001,3,1,dilluns,9349
2025,10001,3,2,laborables,9657
2025,10001,3,3,divendres,10398
2025,10001,3,4,dissabte,8740
2025,10001,3,5,diumenge,6811
2025,10001,4,1,dilluns,9315
2025,10001,4,2,laborables,9691
2025,10001,4,3,divendres,10198
2025,10001,4,4,dissabte,8212
2025,10001,4,5,diumenge,6649
2025,10001,5,1,dilluns,9778
2025,10001,5,2,laborables,10109
2025,10001,5,3,divendres,10077
2025,10001,5,4,dissabte,8725
2025,10001,5,5,diumenge,7028
2025,10001,6,1,dilluns,9551
2025,10001,6,2,laborables,10154
2025,10001,6,3,divendres,10421
2025,10001,6,4,dissabte,8470
2025,10001,6,5,diumenge,6684
2025,10001,7,1,dilluns,10191
2025,10001,7,2,laborables,10265
2025,10001,7,3,divendres,10488
2025,10001,7,4,dissabte,8156
2025,10001,7,5,diumenge,7201
2025,10001,8,1,dilluns,8395
2025,10001,8,2,laborables,8427
2025,10001,8,3,divendres,9217
2025,10001,8,4,dissabte,7215
2025,10001,8,5,diumenge,6206
2025,10001,9,1,dilluns,10214
2025,10001,9,2,laborables,10383
2025,10001,9,3,divendres,10395
2025,10001,9,4,dissabte,8543
2025,10001,9,5,diumenge,7198
2025,10001,10,1,dilluns,10164
2025,10001,10,2,laborables,10626
2025,10001,10,3,divendres,10790
2025,10001,10,4,dissabte,9461
2025,10001,10,5,diumenge,7463
2025,10001,11,1,dilluns,10286
2025,10001,11,2,laborables,10724
2025,10001,11,3,divendres,11202
2025,10001,11,4,dissabte,9827
2025,10001,11,5,diumenge,7732
2025,10001,12,1,dilluns,9749
2025,10001,12,2,laborables,10298
2025,10001,12,3,divendres,11266
2025,10001,12,4,dissabte,9286
2025,10001,12,5,diumenge,7407
2025,10002,1,1,dilluns,20922
2025,10002,1,2,laborables,20911
2025,10002,1,3,divendres,21646
2025,10002,1,4,dissabte,17946
2025,10002,1,5,diumenge,15114
2025,10002,2,1,dilluns,20199
2025,10002,2,2,laborables,21197
2025,10002,2,3,divendres,22531
2025,10002,2,4,dissabte,18842
2025,10002,2,5,diumenge,16040
2025,10002,3,1,dilluns,19645
2025,10002,3,2,laborables,20978
2025,10002,3,3,divendres,21761
2025,10002,3,4,dissabte,19488
2025,10002,3,5,diumenge,15177
2025,10002,4,1,dilluns,25131
2025,10002,4,2,laborables,23845
2025,10002,4,3,divendres,24994
2025,10002,4,4,dissabte,18928
2025,10002,4,5,diumenge,16781
2025,10002,5,1,dilluns,18724
2025,10002,5,2,laborables,21374
2025,10002,5,3,divendres,21995
2025,10002,5,4,dissabte,19678
2025,10002,5,5,diumenge,16714
2025,10002,6,1,dilluns,21118
2025,10002,6,2,laborables,22948
2025,10002,6,3,divendres,24104
2025,10002,6,4,dissabte,20527
2025,10002,6,5,diumenge,17825
2025,10002,7,1,dilluns,21733
2025,10002,7,2,laborables,22620
2025,10002,7,3,divendres,24162
2025,10002,7,4,dissabte,18977
2025,10002,7,5,diumenge,19140
2025,10002,8,1,dilluns,18645
2025,10002,8,2,laborables,18713
2025,10002,8,3,divendres,19916
2025,10002,8,4,dissabte,16085
2025,10002,8,5,diumenge,15754
2025,10002,9,1,dilluns,22332
2025,10002,9,2,laborables,22639
2025,10002,9,3,divendres,22760
2025,10002,9,4,dissabte,19538
2025,10002,9,5,diumenge,16961
2025,10002,10,1,dilluns,24706
2025,10002,10,2,laborables,23222
2025,10002,10,3,divendres,24192
2025,10002,10,4,dissabte,21451
2025,10002,10,5,diumenge,18272
2025,10002,11,1,dilluns,Mesura no disponible
2025,10002,11,2,laborables,Mesura no disponible
2025,10002,11,3,divendres,Mesura no disponible
2025,10002,11,4,dissabte,Mesura no disponible
2025,10002,11,5,diumenge,Mesura no disponible
2025,10002,12,1,dilluns,Mesura no disponible
2025,10002,12,2,laborables,Mesura no disponible
2025,10002,12,3,divendres,Mesura no disponible
2025,10002,12,4,dissabte,Mesura no disponible
2025,10002,12,5,diumenge,Mesura no disponible
2025,10005,1,1,dilluns,4795
2025,10005,1,2,laborables,4863
2025,10005,1,3,divendres,5064
2025,10005,1,4,dissabte,3642
2025,10005,1,5,diumenge,2793
2025,10005,2,1,dilluns,4813
2025,10005,2,2,laborables,5012
2025,10005,2,3,divendres,5171
2025,10005,2,4,dissabte,3925
2025,10005,2,5,diumenge,2958
2025,10005,3,1,dilluns,4514
2025,10005,3,2,laborables,4827
2025,10005,3,3,divendres,5060
2025,10005,3,4,dissabte,3738
2025,10005,3,5,diumenge,3043
2025,10005,4,1,dilluns,4484
2025,10005,4,2,laborables,4806
2025,10005,4,3,divendres,5277
2025,10005,4,4,dissabte,3619
2025,10005,4,5,diumenge,2702
2025,10005,5,1,dilluns,4818
2025,10005,5,2,laborables,5176
2025,10005,5,3,divendres,5160
2025,10005,5,4,dissabte,3965
2025,10005,5,5,diumenge,2943
2025,10005,6,1,dilluns,4610
2025,10005,6,2,laborables,5198
2025,10005,6,3,divendres,5611
2025,10005,6,4,dissabte,3734
2025,10005,6,5,diumenge,2770
2025,10005,7,1,dilluns,4842
2025,10005,7,2,laborables,4847
2025,10005,7,3,divendres,5503
2025,10005,7,4,dissabte,3446
2025,10005,7,5,diumenge,2660
2025,10005,8,1,dilluns,3436
2025,10005,8,2,laborables,3485
2025,10005,8,3,divendres,4035
2025,10005,8,4,dissabte,2746
2025,10005,8,5,diumenge,2430
2025,10005,9,1,dilluns,4712
2025,10005,9,2,laborables,4991
2025,10005,9,3,divendres,5107
2025,10005,9,4,dissabte,3723
2025,10005,9,5,diumenge,2801
2025,10005,10,1,dilluns,4798
2025,10005,10,2,laborables,5264
2025,10005,10,3,divendres,5456
2025,10005,10,4,dissabte,4063
2025,10005,10,5,diumenge,2947
2025,10005,11,1,dilluns,4884
2025,10005,11,2,laborables,5262
2025,10005,11,3,divendres,5482
2025,10005,11,4,dissabte,4341
2025,10005,11,5,diumenge,3240
2025,10005,12,1,dilluns,4735
2025,10005,12,2,laborables,5139
2025,10005,12,3,divendres,5521
2025,10005,12,4,dissabte,3913
2025,10005,12,5,diumenge,3086
2025,10008,1,1,dilluns,Mesura no disponible
2025,10008,1,2,laborables,Mesura no disponible
2025,10008,1,3,divendres,Mesura no disponible
2025,10008,1,4,dissabte,Mesura no disponible
2025,10008,1,5,diumenge,Mesura no disponible
2025,10008,2,1,dilluns,5384
2025,10008,2,2,laborables,5416
2025,10008,2,3,divendres,5702
2025,10008,2,4,dissabte,4515
2025,10008,2,5,diumenge,3635
2025,10008,3,1,dilluns,5539
2025,10008,3,2,laborables,5957
2025,10008,3,3,divendres,6341
2025,10008,3,4,dissabte,4677
2025,10008,3,5,diumenge,3651
2025,10008,4,1,dilluns,4032
2025,10008,4,2,laborables,6006
2025,10008,4,3,divendres,6278
2025,10008,4,4,dissabte,4538
2025,10008,4,5,diumenge,3544
2025,10008,5,1,dilluns,Mesura no disponible
2025,10008,5,2,laborables,Mesura no disponible
2025,10008,5,3,divendres,Mesura no disponible
2025,10008,5,4,dissabte,Mesura no disponible
2025,10008,5,5,diumenge,Mesura no disponible
2025,10008,6,1,dilluns,Mesura no disponible
2025,10008,6,2,laborables,Mesura no disponible
2025,10008,6,3,divendres,Mesura no disponible
2025,10008,6,4,dissabte,Mesura no disponible
2025,10008,6,5,diumenge,Mesura no disponible
2025,10008,7,1,dilluns,Mesura no disponible
