Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Mediana_Renda_€
2021,1,Ciutat Vella,1,el Raval,1,14350
2021,1,Ciutat Vella,1,el Raval,2,10850
2021,1,Ciutat Vella,1,el Raval,3,10850
2021,1,Ciutat Vella,1,el Raval,4,12250
2021,1,Ciutat Vella,1,el Raval,5,11550
2021,1,Ciutat Vella,1,el Raval,6,11550
2021,1,Ciutat Vella,1,el Raval,7,12250
2021,1,Ciutat Vella,1,el Raval,8,10150
2021,1,Ciutat Vella,1,el Raval,9,11550
2021,1,Ciutat Vella,1,el Raval,10,10850
2021,1,Ciutat Vella,1,el Raval,11,10150
2021,1,Ciutat Vella,1,el Raval,12,12950
2021,1,Ciutat Vella,1,el Raval,13,13650
2021,1,Ciutat Vella,1,el Raval,14,13650
2021,1,Ciutat Vella,1,el Raval,15,12950
2021,1,Ciutat Vella,1,el Raval,16,12950
2021,1,Ciutat Vella,1,el Raval,17,12250
2021,1,Ciutat Vella,1,el Raval,18,12950
2021,1,Ciutat Vella,1,el Raval,19,12250
2021,1,Ciutat Vella,1,el Raval,20,16450
2021,1,Ciutat Vella,1,el Raval,21,15750
2021,1,Ciutat Vella,2,el Barri Gòtic,22,19250
2021,1,Ciutat Vella,2,el Barri Gòtic,23,17850
2021,1,Ciutat Vella,2,el Barri Gòtic,25,16450
2021,1,Ciutat Vella,2,el Barri Gòtic,26,15750
2021,1,Ciutat Vella,2,el Barri Gòtic,27,15750
2021,1,Ciutat Vella,2,el Barri Gòtic,28,15050
2021,1,Ciutat Vella,2,el Barri Gòtic,29,13650
2021,1,Ciutat Vella,2,el Barri Gòtic,30,14350
2021,1,Ciutat Vella,2,el Barri Gòtic,31,12250
2021,1,Ciutat Vella,3,la Barceloneta,32,17150
2021,1,Ciutat Vella,3,la Barceloneta,33,15750
2021,1,Ciutat Vella,3,la Barceloneta,34,15050
2021,1,Ciutat Vella,3,la Barceloneta,35,15050
2021,1,Ciutat Vella,3,la Barceloneta,36,17150
2021,1,Ciutat Vella,3,la Barceloneta,37,17150
2021,1,Ciutat Vella,3,la Barceloneta,38,15050
2021,1,Ciutat Vella,3,la Barceloneta,39,17150
2021,1,Ciutat Vella,3,la Barceloneta,40,15750
2021,1,Ciutat Vella,3,la Barceloneta,41,13650
2021,1,Ciutat Vella,3,la Barceloneta,42,17150
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,21350
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,18550
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,17150
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,15750
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,15050
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,12250
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,15750
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,15750
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,13650
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,21350
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,14350
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,15750
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,22050
