Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Mitjana_Renda_€
2020,1,Ciutat Vella,1,el Raval,1,15672
2020,1,Ciutat Vella,1,el Raval,2,12175
2020,1,Ciutat Vella,1,el Raval,3,12718
2020,1,Ciutat Vella,1,el Raval,4,14945
2020,1,Ciutat Vella,1,el Raval,5,13268
2020,1,Ciutat Vella,1,el Raval,6,14226
2020,1,Ciutat Vella,1,el Raval,7,13370
2020,1,Ciutat Vella,1,el Raval,8,10858
2020,1,Ciutat Vella,1,el Raval,9,13941
2020,1,Ciutat Vella,1,el Raval,10,11465
2020,1,Ciutat Vella,1,el Raval,11,11081
2020,1,Ciutat Vella,1,el Raval,12,14112
2020,1,Ciutat Vella,1,el Raval,13,14779
2020,1,Ciutat Vella,1,el Raval,14,13899
2020,1,Ciutat Vella,1,el Raval,15,14196
2020,1,Ciutat Vella,1,el Raval,16,13556
2020,1,Ciutat Vella,1,el Raval,17,13317
2020,1,Ciutat Vella,1,el Raval,18,13399
2020,1,Ciutat Vella,1,el Raval,19,13374
2020,1,Ciutat Vella,1,el Raval,20,19757
2020,1,Ciutat Vella,1,el Raval,21,18471
2020,1,Ciutat Vella,2,el Barri Gòtic,22,23660
2020,1,Ciutat Vella,2,el Barri Gòtic,23,20610
2020,1,Ciutat Vella,2,el Barri Gòtic,25,18550
2020,1,Ciutat Vella,2,el Barri Gòtic,26,19977
2020,1,Ciutat Vella,2,el Barri Gòtic,27,18090
2020,1,Ciutat Vella,2,el Barri Gòtic,28,17418
2020,1,Ciutat Vella,2,el Barri Gòtic,29,14625
2020,1,Ciutat Vella,2,el Barri Gòtic,30,16513
2020,1,Ciutat Vella,2,el Barri Gòtic,31,15361
2020,1,Ciutat Vella,3,la Barceloneta,32,19142
2020,1,Ciutat Vella,3,la Barceloneta,33,15750
2020,1,Ciutat Vella,3,la Barceloneta,34,16493
2020,1,Ciutat Vella,3,la Barceloneta,35,16715
2020,1,Ciutat Vella,3,la Barceloneta,36,19052
2020,1,Ciutat Vella,3,la Barceloneta,37,18249
2020,1,Ciutat Vella,3,la Barceloneta,38,15379
2020,1,Ciutat Vella,3,la Barceloneta,39,17258
2020,1,Ciutat Vella,3,la Barceloneta,40,17802
2020,1,Ciutat Vella,3,la Barceloneta,41,15140
2020,1,Ciutat Vella,3,la Barceloneta,42,18439
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,24620
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,22331
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,18964
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,17758
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,17724
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,14100
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,18219
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,17855
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,15631
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,25166
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,16030
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,17909
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,23755
2020,2,L'Eixample,5,el Fort Pienc,1,25500
2020,2,L'Eixample,5,el Fort Pienc,2,25073
2020,2,L'Eixample,5,el Fort Pienc,3,27508
2020,2,L'Eixample,5,el Fort Pienc,4,21439
2020,2,L'Eixample,5,el Fort Pienc,5,27050
2020,2,L'Eixample,5,el Fort Pienc,6,27542
2020,2,L'Eixample,5,el Fort Pienc,7,29032
2020,2,L'Eixample,5,el Fort Pienc,8,28354
2020,2,L'Eixample,5,el Fort Pienc,9,26323
2020,2,L'Eixample,5,el Fort Pienc,10,24833
2020,2,L'Eixample,5,el Fort Pienc,11,25848
2020,2,L'Eixample,5,el Fort Pienc,12,21478
2020,2,L'Eixample,5,el Fort Pienc,13,21468
2020,2,L'Eixample,5,el Fort Pienc,14,20872
2020,2,L'Eixample,5,el Fort Pienc,15,21882
2020,2,L'Eixample,5,el Fort Pienc,16,26860
2020,2,L'Eixample,5,el Fort Pienc,17,27906
2020,2,L'Eixample,5,el Fort Pienc,18,27365
2020,2,L'Eixample,5,el Fort Pienc,19,25002
2020,2,L'Eixample,5,el Fort Pienc,20,22340
2020,2,L'Eixample,6,la Sagrada Família,21,22593
2020,2,L'Eixample,6,la Sagrada Família,22,24468
2020,2,L'Eixample,6,la Sagrada Família,23,24822
2020,2,L'Eixample,6,la Sagrada Família,24,23091
2020,2,L'Eixample,6,la Sagrada Família,25,22349
2020,2,L'Eixample,6,la Sagrada Família,26,24300
2020,2,L'Eixample,6,la Sagrada Família,27,24896
2020,2,L'Eixample,6,la Sagrada Família,28,24986
2020,2,L'Eixample,6,la Sagrada Família,29,25355
2020,2,L'Eixample,6,la Sagrada Família,30,20152
2020,2,L'Eixample,6,la Sagrada Família,31,27835
2020,2,L'Eixample,6,la Sagrada Família,32,26377
2020,2,L'Eixample,6,la Sagrada Família,33,23885
2020,2,L'Eixample,6,la Sagrada Família,34,22748
2020,2,L'Eixample,6,la Sagrada Família,35,26330
2020,2,L'Eixample,6,la Sagrada Família,36,27681
2020,2,L'Eixample,6,la Sagrada Família,37,28750
2020,2,L'Eixample,6,la Sagrada Família,38,27411
2020,2,L'Eixample,6,la Sagrada Família,39,24478
2020,2,L'Eixample,6,la Sagrada Família,40,21463
2020,2,L'Eixample,6,la Sagrada Família,41,23797
2020,2,L'Eixample,6,la Sagrada Família,42,29309
2020,2,L'Eixample,6,la Sagrada Família,43,26206
2020,2,L'Eixample,6,la Sagrada Família,44,22367
2020,2,L'Eixample,6,la Sagrada Família,45,26833
2020,2,L'Eixample,6,la Sagrada Família,46,22992
2020,2,L'Eixample,6,la Sagrada Família,47,23915
2020,2,L'Eixample,6,la Sagrada Família,48,24781
2020,2,L'Eixample,6,la Sagrada Família,49,21305
2020,2,L'Eixample,6,la Sagrada Família,50,23622
2020,2,L'Eixample,6,la Sagrada Família,51,21657
2020,2,L'Eixample,6,la Sagrada Família,52,25365
2020,2,L'Eixample,6,la Sagrada Família,53,26328
2020,2,L'Eixample,6,la Sagrada Família,54,26600
2020,2,L'Eixample,7,la Dreta de l'Eixample,55,26772
2020,2,L'Eixample,7,la Dreta de l'Eixample,56,27189
2020,2,L'Eixample,7,la Dreta de l'Eixample,57,34015
2020,2,L'Eixample,7,la Dreta de l'Eixample,58,32320
2020,2,L'Eixample,7,la Dreta de l'Eixample,59,32672
2020,2,L'Eixample,7,la Dreta de l'Eixample,60,28428
2020,2,L'Eixample,7,la Dreta de l'Eixample,61,25815
2020,2,L'Eixample,7,la Dreta de l'Eixample,62,31439
2020,2,L'Eixample,7,la Dreta de l'Eixample,63,38511
2020,2,L'Eixample,7,la Dreta de l'Eixample,64,36306
2020,2,L'Eixample,7,la Dreta de l'Eixample,65,29571
2020,2,L'Eixample,7,la Dreta de l'Eixample,66,28335
2020,2,L'Eixample,7,la Dreta de l'Eixample,67,24697
2020,2,L'Eixample,7,la Dreta de l'Eixample,68,25961
2020,2,L'Eixample,7,la Dreta de l'Eixample,69,30949
2020,2,L'Eixample,7,la Dreta de l'Eixample,70,31162
2020,2,L'Eixample,7,la Dreta de l'Eixample,71,32571
2020,2,L'Eixample,7,la Dreta de l'Eixample,72,37124
2020,2,L'Eixample,7,la Dreta de l'Eixample,73,32724
2020,2,L'Eixample,7,la Dreta de l'Eixample,74,32139
2020,2,L'Eixample,7,la Dreta de l'Eixample,75,30571
2020,2,L'Eixample,7,la Dreta de l'Eixample,76,34520
2020,2,L'Eixample,7,la Dreta de l'Eixample,77,30665
2020,2,L'Eixample,7,la Dreta de l'Eixample,78,33991
2020,2,L'Eixample,7,la Dreta de l'Eixample,79,40614
2020,2,L'Eixample,7,la Dreta de l'Eixample,80,34592
2020,2,L'Eixample,7,la Dreta de l'Eixample,81,36603
2020,2,L'Eixample,7,la Dreta de l'Eixample,82,33989
2020,2,L'Eixample,7,la Dreta de l'Eixample,83,39670
