Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_00_18
2016-01-01,1,Ciutat Vella,1,el Raval,1,1001,400,1
2016-01-01,1,Ciutat Vella,1,el Raval,1,1001,50,2
2016-01-01,1,Ciutat Vella,1,el Raval,1,1001,27,3
2016-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,4
2016-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,5
2016-01-01,1,Ciutat Vella,1,el Raval,1,1002,438,1
2016-01-01,1,Ciutat Vella,1,el Raval,1,1002,59,2
2016-01-01,1,Ciutat Vella,1,el Raval,1,1002,39,3
2016-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,4
2016-01-01,1,Ciutat Vella,1,el Raval,1,1002,8,5
2016-01-01,1,Ciutat Vella,1,el Raval,2,1003,755,1
2016-01-01,1,Ciutat Vella,1,el Raval,2,1003,115,2
2016-01-01,1,Ciutat Vella,1,el Raval,2,1003,94,3
2016-01-01,1,Ciutat Vella,1,el Raval,2,1003,45,4
2016-01-01,1,Ciutat Vella,1,el Raval,2,1003,27,5
2016-01-01,1,Ciutat Vella,1,el Raval,2,1004,775,1
2016-01-01,1,Ciutat Vella,1,el Raval,2,1004,145,2
2016-01-01,1,Ciutat Vella,1,el Raval,2,1004,78,3
2016-01-01,1,Ciutat Vella,1,el Raval,2,1004,19,4
2016-01-01,1,Ciutat Vella,1,el Raval,2,1004,16,5
2016-01-01,1,Ciutat Vella,1,el Raval,3,1005,732,1
2016-01-01,1,Ciutat Vella,1,el Raval,3,1005,90,2
2016-01-01,1,Ciutat Vella,1,el Raval,3,1005,53,3
2016-01-01,1,Ciutat Vella,1,el Raval,3,1005,31,4
2016-01-01,1,Ciutat Vella,1,el Raval,3,1005,12,5
2016-01-01,1,Ciutat Vella,1,el Raval,3,1006,483,1
2016-01-01,1,Ciutat Vella,1,el Raval,3,1006,65,2
2016-01-01,1,Ciutat Vella,1,el Raval,3,1006,23,3
2016-01-01,1,Ciutat Vella,1,el Raval,3,1006,9,4
2016-01-01,1,Ciutat Vella,1,el Raval,3,1006,7,5
2016-01-01,1,Ciutat Vella,1,el Raval,3,1007,498,1
2016-01-01,1,Ciutat Vella,1,el Raval,3,1007,79,2
2016-01-01,1,Ciutat Vella,1,el Raval,3,1007,48,3
2016-01-01,1,Ciutat Vella,1,el Raval,3,1007,21,4
2016-01-01,1,Ciutat Vella,1,el Raval,3,1007,15,5
2016-01-01,1,Ciutat Vella,1,el Raval,4,1008,687,1
2016-01-01,1,Ciutat Vella,1,el Raval,4,1008,150,2
2016-01-01,1,Ciutat Vella,1,el Raval,4,1008,86,3
2016-01-01,1,Ciutat Vella,1,el Raval,4,1008,45,4
2016-01-01,1,Ciutat Vella,1,el Raval,4,1008,23,5
2016-01-01,1,Ciutat Vella,1,el Raval,4,1009,613,1
2016-01-01,1,Ciutat Vella,1,el Raval,4,1009,98,2
2016-01-01,1,Ciutat Vella,1,el Raval,4,1009,60,3
2016-01-01,1,Ciutat Vella,1,el Raval,4,1009,24,4
2016-01-01,1,Ciutat Vella,1,el Raval,4,1009,6,5
2016-01-01,1,Ciutat Vella,1,el Raval,4,1010,548,1
2016-01-01,1,Ciutat Vella,1,el Raval,4,1010,111,2
2016-01-01,1,Ciutat Vella,1,el Raval,4,1010,66,3
2016-01-01,1,Ciutat Vella,1,el Raval,4,1010,31,4
2016-01-01,1,Ciutat Vella,1,el Raval,4,1010,20,5
2016-01-01,1,Ciutat Vella,1,el Raval,5,1011,812,1
2016-01-01,1,Ciutat Vella,1,el Raval,5,1011,140,2
2016-01-01,1,Ciutat Vella,1,el Raval,5,1011,93,3
2016-01-01,1,Ciutat Vella,1,el Raval,5,1011,38,4
2016-01-01,1,Ciutat Vella,1,el Raval,5,1011,29,5
2016-01-01,1,Ciutat Vella,1,el Raval,5,1012,559,1
2016-01-01,1,Ciutat Vella,1,el Raval,5,1012,89,2
2016-01-01,1,Ciutat Vella,1,el Raval,5,1012,50,3
2016-01-01,1,Ciutat Vella,1,el Raval,5,1012,16,4
2016-01-01,1,Ciutat Vella,1,el Raval,5,1012,10,5
2016-01-01,1,Ciutat Vella,1,el Raval,5,1013,368,1
2016-01-01,1,Ciutat Vella,1,el Raval,5,1013,57,2
2016-01-01,1,Ciutat Vella,1,el Raval,5,1013,37,3
2016-01-01,1,Ciutat Vella,1,el Raval,5,1013,12,4
2016-01-01,1,Ciutat Vella,1,el Raval,5,1013,10,5
2016-01-01,1,Ciutat Vella,1,el Raval,6,1014,423,1
2016-01-01,1,Ciutat Vella,1,el Raval,6,1014,78,2
2016-01-01,1,Ciutat Vella,1,el Raval,6,1014,44,3
2016-01-01,1,Ciutat Vella,1,el Raval,6,1014,6,4
2016-01-01,1,Ciutat Vella,1,el Raval,6,1014,15,5
2016-01-01,1,Ciutat Vella,1,el Raval,6,1015,593,1
2016-01-01,1,Ciutat Vella,1,el Raval,6,1015,109,2
2016-01-01,1,Ciutat Vella,1,el Raval,6,1015,58,3
2016-01-01,1,Ciutat Vella,1,el Raval,6,1015,17,4
2016-01-01,1,Ciutat Vella,1,el Raval,6,1015,8,5
2016-01-01,1,Ciutat Vella,1,el Raval,6,1016,552,1
2016-01-01,1,Ciutat Vella,1,el Raval,6,1016,97,2
2016-01-01,1,Ciutat Vella,1,el Raval,6,1016,58,3
2016-01-01,1,Ciutat Vella,1,el Raval,6,1016,26,4
2016-01-01,1,Ciutat Vella,1,el Raval,6,1016,6,5
2016-01-01,1,Ciutat Vella,1,el Raval,6,1017,607,1
2016-01-01,1,Ciutat Vella,1,el Raval,6,1017,122,2
2016-01-01,1,Ciutat Vella,1,el Raval,6,1017,78,3
2016-01-01,1,Ciutat Vella,1,el Raval,6,1017,30,4
2016-01-01,1,Ciutat Vella,1,el Raval,6,1017,11,5
2016-01-01,1,Ciutat Vella,1,el Raval,7,1018,421,1
2016-01-01,1,Ciutat Vella,1,el Raval,7,1018,70,2
2016-01-01,1,Ciutat Vella,1,el Raval,7,1018,36,3
2016-01-01,1,Ciutat Vella,1,el Raval,7,1018,16,4
2016-01-01,1,Ciutat Vella,1,el Raval,7,1018,5,5
2016-01-01,1,Ciutat Vella,1,el Raval,7,1019,836,1
2016-01-01,1,Ciutat Vella,1,el Raval,7,1019,106,2
2016-01-01,1,Ciutat Vella,1,el Raval,7,1019,61,3
2016-01-01,1,Ciutat Vella,1,el Raval,7,1019,19,4
2016-01-01,1,Ciutat Vella,1,el Raval,7,1019,12,5
2016-01-01,1,Ciutat Vella,1,el Raval,7,1020,780,1
2016-01-01,1,Ciutat Vella,1,el Raval,7,1020,69,2
2016-01-01,1,Ciutat Vella,1,el Raval,7,1020,39,3
2016-01-01,1,Ciutat Vella,1,el Raval,7,1020,6,4
2016-01-01,1,Ciutat Vella,1,el Raval,7,1020,5,5
2016-01-01,1,Ciutat Vella,1,el Raval,8,1021,800,1
2016-01-01,1,Ciutat Vella,1,el Raval,8,1021,70,2
2016-01-01,1,Ciutat Vella,1,el Raval,8,1021,31,3
2016-01-01,1,Ciutat Vella,1,el Raval,8,1021,9,4
2016-01-01,1,Ciutat Vella,1,el Raval,8,1021,5,5
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,483,1
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,43,2
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,28,3
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,4,4
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,1,5
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,762,1
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,72,2
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,34,3
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,9,4
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,495,1
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,48,2
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,28,3
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,7,4
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,1,5
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,536,1
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,61,2
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,39,3
