Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,N_PERSONES_AGG
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,196,1
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,135,2
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,81,3
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,45,4
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,22,5
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,10,6
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,7
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,4,8
2002-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,9
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,206,1
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,150,2
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,67,3
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,50,4
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,18,5
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,11,6
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,10,7
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,11,8
2002-01-01,1,Ciutat Vella,1,el Raval,1,1002,18,9
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,309,1
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,280,2
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,170,3
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,122,4
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,51,5
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,23,6
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,12,7
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,9,8
2002-01-01,1,Ciutat Vella,1,el Raval,2,1003,21,9
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,362,1
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,272,2
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,165,3
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,104,4
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,49,5
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,25,6
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,11,7
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,8,8
2002-01-01,1,Ciutat Vella,1,el Raval,2,1004,26,9
2002-01-01,1,Ciutat Vella,1,el Raval,3,1005,367,1
2002-01-01,1,Ciutat Vella,1,el Raval,3,1005,271,2
2002-01-01,1,Ciutat Vella,1,el Raval,3,1005,132,3
2002-01-01,1,Ciutat Vella,1,el Raval,3,1005,61,4
2002-01-01,1,Ciutat Vella,1,el Raval,3,1005,31,5
2002-01-01,1,Ciutat Vella,1,el Raval,3,1005,23,6
2002-01-01,1,Ciutat Vella,1,el Raval,3,1005,9,7
2002-01-01,1,Ciutat Vella,1,el Raval,3,1005,7,8
2002-01-01,1,Ciutat Vella,1,el Raval,3,1005,15,9
2002-01-01,1,Ciutat Vella,1,el Raval,3,1006,258,1
2002-01-01,1,Ciutat Vella,1,el Raval,3,1006,175,2
2002-01-01,1,Ciutat Vella,1,el Raval,3,1006,104,3
2002-01-01,1,Ciutat Vella,1,el Raval,3,1006,47,4
2002-01-01,1,Ciutat Vella,1,el Raval,3,1006,24,5
2002-01-01,1,Ciutat Vella,1,el Raval,3,1006,18,6
2002-01-01,1,Ciutat Vella,1,el Raval,3,1006,15,7
2002-01-01,1,Ciutat Vella,1,el Raval,3,1006,5,8
2002-01-01,1,Ciutat Vella,1,el Raval,3,1006,18,9
2002-01-01,1,Ciutat Vella,1,el Raval,3,1007,251,1
2002-01-01,1,Ciutat Vella,1,el Raval,3,1007,159,2
2002-01-01,1,Ciutat Vella,1,el Raval,3,1007,88,3
2002-01-01,1,Ciutat Vella,1,el Raval,3,1007,75,4
2002-01-01,1,Ciutat Vella,1,el Raval,3,1007,42,5
2002-01-01,1,Ciutat Vella,1,el Raval,3,1007,18,6
2002-01-01,1,Ciutat Vella,1,el Raval,3,1007,7,7
2002-01-01,1,Ciutat Vella,1,el Raval,3,1007,2,8
2002-01-01,1,Ciutat Vella,1,el Raval,3,1007,24,9
2002-01-01,1,Ciutat Vella,1,el Raval,4,1008,306,1
2002-01-01,1,Ciutat Vella,1,el Raval,4,1008,235,2
2002-01-01,1,Ciutat Vella,1,el Raval,4,1008,120,3
2002-01-01,1,Ciutat Vella,1,el Raval,4,1008,88,4
2002-01-01,1,Ciutat Vella,1,el Raval,4,1008,54,5
2002-01-01,1,Ciutat Vella,1,el Raval,4,1008,30,6
2002-01-01,1,Ciutat Vella,1,el Raval,4,1008,15,7
2002-01-01,1,Ciutat Vella,1,el Raval,4,1008,14,8
2002-01-01,1,Ciutat Vella,1,el Raval,4,1008,41,9
2002-01-01,1,Ciutat Vella,1,el Raval,4,1009,268,1
2002-01-01,1,Ciutat Vella,1,el Raval,4,1009,201,2
2002-01-01,1,Ciutat Vella,1,el Raval,4,1009,126,3
2002-01-01,1,Ciutat Vella,1,el Raval,4,1009,69,4
2002-01-01,1,Ciutat Vella,1,el Raval,4,1009,29,5
2002-01-01,1,Ciutat Vella,1,el Raval,4,1009,13,6
2002-01-01,1,Ciutat Vella,1,el Raval,4,1009,10,7
2002-01-01,1,Ciutat Vella,1,el Raval,4,1009,8,8
2002-01-01,1,Ciutat Vella,1,el Raval,4,1009,19,9
2002-01-01,1,Ciutat Vella,1,el Raval,4,1010,258,1
2002-01-01,1,Ciutat Vella,1,el Raval,4,1010,176,2
2002-01-01,1,Ciutat Vella,1,el Raval,4,1010,108,3
2002-01-01,1,Ciutat Vella,1,el Raval,4,1010,69,4
2002-01-01,1,Ciutat Vella,1,el Raval,4,1010,38,5
2002-01-01,1,Ciutat Vella,1,el Raval,4,1010,23,6
2002-01-01,1,Ciutat Vella,1,el Raval,4,1010,10,7
2002-01-01,1,Ciutat Vella,1,el Raval,4,1010,5,8
2002-01-01,1,Ciutat Vella,1,el Raval,4,1010,35,9
2002-01-01,1,Ciutat Vella,1,el Raval,5,1011,433,1
2002-01-01,1,Ciutat Vella,1,el Raval,5,1011,269,2
2002-01-01,1,Ciutat Vella,1,el Raval,5,1011,128,3
2002-01-01,1,Ciutat Vella,1,el Raval,5,1011,91,4
2002-01-01,1,Ciutat Vella,1,el Raval,5,1011,43,5
2002-01-01,1,Ciutat Vella,1,el Raval,5,1011,34,6
2002-01-01,1,Ciutat Vella,1,el Raval,5,1011,15,7
2002-01-01,1,Ciutat Vella,1,el Raval,5,1011,13,8
2002-01-01,1,Ciutat Vella,1,el Raval,5,1011,21,9
2002-01-01,1,Ciutat Vella,1,el Raval,5,1012,299,1
2002-01-01,1,Ciutat Vella,1,el Raval,5,1012,181,2
2002-01-01,1,Ciutat Vella,1,el Raval,5,1012,108,3
2002-01-01,1,Ciutat Vella,1,el Raval,5,1012,64,4
2002-01-01,1,Ciutat Vella,1,el Raval,5,1012,29,5
2002-01-01,1,Ciutat Vella,1,el Raval,5,1012,9,6
2002-01-01,1,Ciutat Vella,1,el Raval,5,1012,2,7
2002-01-01,1,Ciutat Vella,1,el Raval,5,1012,4,8
2002-01-01,1,Ciutat Vella,1,el Raval,5,1012,9,9
2002-01-01,1,Ciutat Vella,1,el Raval,5,1013,168,1
2002-01-01,1,Ciutat Vella,1,el Raval,5,1013,144,2
2002-01-01,1,Ciutat Vella,1,el Raval,5,1013,90,3
2002-01-01,1,Ciutat Vella,1,el Raval,5,1013,51,4
2002-01-01,1,Ciutat Vella,1,el Raval,5,1013,15,5
2002-01-01,1,Ciutat Vella,1,el Raval,5,1013,8,6
2002-01-01,1,Ciutat Vella,1,el Raval,5,1013,3,7
2002-01-01,1,Ciutat Vella,1,el Raval,5,1013,2,8
2002-01-01,1,Ciutat Vella,1,el Raval,5,1013,5,9
2002-01-01,1,Ciutat Vella,1,el Raval,6,1014,195,1
2002-01-01,1,Ciutat Vella,1,el Raval,6,1014,151,2
2002-01-01,1,Ciutat Vella,1,el Raval,6,1014,89,3
2002-01-01,1,Ciutat Vella,1,el Raval,6,1014,64,4
2002-01-01,1,Ciutat Vella,1,el Raval,6,1014,29,5
2002-01-01,1,Ciutat Vella,1,el Raval,6,1014,15,6
2002-01-01,1,Ciutat Vella,1,el Raval,6,1014,15,7
2002-01-01,1,Ciutat Vella,1,el Raval,6,1014,12,8
2002-01-01,1,Ciutat Vella,1,el Raval,6,1014,16,9
2002-01-01,1,Ciutat Vella,1,el Raval,6,1015,265,1
2002-01-01,1,Ciutat Vella,1,el Raval,6,1015,209,2
