Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NACIONALITAT_G,EDAT_Q,SEXE
2011-01-01,1,Ciutat Vella,1,el Raval,547,1,0,1
2011-01-01,1,Ciutat Vella,1,el Raval,519,1,0,2
2011-01-01,1,Ciutat Vella,1,el Raval,486,1,1,1
2011-01-01,1,Ciutat Vella,1,el Raval,549,1,1,2
2011-01-01,1,Ciutat Vella,1,el Raval,435,1,2,1
2011-01-01,1,Ciutat Vella,1,el Raval,435,1,2,2
2011-01-01,1,Ciutat Vella,1,el Raval,446,1,3,1
2011-01-01,1,Ciutat Vella,1,el Raval,474,1,3,2
2011-01-01,1,Ciutat Vella,1,el Raval,482,1,4,1
2011-01-01,1,Ciutat Vella,1,el Raval,516,1,4,2
2011-01-01,1,Ciutat Vella,1,el Raval,738,1,5,1
2011-01-01,1,Ciutat Vella,1,el Raval,708,1,5,2
2011-01-01,1,Ciutat Vella,1,el Raval,977,1,6,1
2011-01-01,1,Ciutat Vella,1,el Raval,959,1,6,2
2011-01-01,1,Ciutat Vella,1,el Raval,1022,1,7,1
2011-01-01,1,Ciutat Vella,1,el Raval,1070,1,7,2
2011-01-01,1,Ciutat Vella,1,el Raval,947,1,8,1
2011-01-01,1,Ciutat Vella,1,el Raval,1017,1,8,2
2011-01-01,1,Ciutat Vella,1,el Raval,850,1,9,1
2011-01-01,1,Ciutat Vella,1,el Raval,951,1,9,2
2011-01-01,1,Ciutat Vella,1,el Raval,865,1,10,1
2011-01-01,1,Ciutat Vella,1,el Raval,859,1,10,2
2011-01-01,1,Ciutat Vella,1,el Raval,715,1,11,1
2011-01-01,1,Ciutat Vella,1,el Raval,729,1,11,2
2011-01-01,1,Ciutat Vella,1,el Raval,727,1,12,1
2011-01-01,1,Ciutat Vella,1,el Raval,703,1,12,2
2011-01-01,1,Ciutat Vella,1,el Raval,628,1,13,1
2011-01-01,1,Ciutat Vella,1,el Raval,660,1,13,2
2011-01-01,1,Ciutat Vella,1,el Raval,662,1,14,1
2011-01-01,1,Ciutat Vella,1,el Raval,614,1,14,2
2011-01-01,1,Ciutat Vella,1,el Raval,811,1,15,1
2011-01-01,1,Ciutat Vella,1,el Raval,557,1,15,2
2011-01-01,1,Ciutat Vella,1,el Raval,752,1,16,1
2011-01-01,1,Ciutat Vella,1,el Raval,369,1,16,2
2011-01-01,1,Ciutat Vella,1,el Raval,543,1,17,1
2011-01-01,1,Ciutat Vella,1,el Raval,194,1,17,2
2011-01-01,1,Ciutat Vella,1,el Raval,196,1,18,1
2011-01-01,1,Ciutat Vella,1,el Raval,56,1,18,2
2011-01-01,1,Ciutat Vella,1,el Raval,52,1,19,1
2011-01-01,1,Ciutat Vella,1,el Raval,10,1,19,2
2011-01-01,1,Ciutat Vella,1,el Raval,7,1,20,1
2011-01-01,1,Ciutat Vella,1,el Raval,..,1,20,2
2011-01-01,1,Ciutat Vella,1,el Raval,51,2,0,1
2011-01-01,1,Ciutat Vella,1,el Raval,33,2,0,2
2011-01-01,1,Ciutat Vella,1,el Raval,40,2,1,1
2011-01-01,1,Ciutat Vella,1,el Raval,24,2,1,2
2011-01-01,1,Ciutat Vella,1,el Raval,14,2,2,1
2011-01-01,1,Ciutat Vella,1,el Raval,17,2,2,2
2011-01-01,1,Ciutat Vella,1,el Raval,22,2,3,1
2011-01-01,1,Ciutat Vella,1,el Raval,17,2,3,2
2011-01-01,1,Ciutat Vella,1,el Raval,270,2,4,1
2011-01-01,1,Ciutat Vella,1,el Raval,156,2,4,2
2011-01-01,1,Ciutat Vella,1,el Raval,542,2,5,1
2011-01-01,1,Ciutat Vella,1,el Raval,449,2,5,2
2011-01-01,1,Ciutat Vella,1,el Raval,413,2,6,1
2011-01-01,1,Ciutat Vella,1,el Raval,455,2,6,2
2011-01-01,1,Ciutat Vella,1,el Raval,202,2,7,1
2011-01-01,1,Ciutat Vella,1,el Raval,280,2,7,2
2011-01-01,1,Ciutat Vella,1,el Raval,98,2,8,1
2011-01-01,1,Ciutat Vella,1,el Raval,158,2,8,2
2011-01-01,1,Ciutat Vella,1,el Raval,67,2,9,1
2011-01-01,1,Ciutat Vella,1,el Raval,126,2,9,2
2011-01-01,1,Ciutat Vella,1,el Raval,46,2,10,1
2011-01-01,1,Ciutat Vella,1,el Raval,75,2,10,2
2011-01-01,1,Ciutat Vella,1,el Raval,25,2,11,1
2011-01-01,1,Ciutat Vella,1,el Raval,43,2,11,2
2011-01-01,1,Ciutat Vella,1,el Raval,16,2,12,1
2011-01-01,1,Ciutat Vella,1,el Raval,26,2,12,2
2011-01-01,1,Ciutat Vella,1,el Raval,5,2,13,1
