Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,EDAT_Q
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,63,0
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,45,1
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,33,2
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,48,3
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,73,4
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,164,5
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,147,6
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,132,7
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,106,8
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,82,9
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,91,10
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,59,11
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,38,12
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,55,13
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,43,14
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,48,15
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,36,16
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,21,17
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,18
2020-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,19
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,61,0
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,57,1
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,48,2
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,54,3
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,128,4
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,204,5
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,169,6
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,152,7
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,110,8
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,94,9
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,78,10
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,54,11
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,48,12
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,48,13
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,28,14
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,28,15
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,33,16
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,48,17
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,17,18
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,9,19
2020-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,20
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,250,0
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,288,1
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,217,2
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,303,3
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,231,4
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,342,5
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,355,6
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,316,7
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,261,8
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,228,9
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,201,10
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,164,11
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,153,12
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,89,13
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,100,14
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,61,15
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,59,16
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,57,17
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,18,18
2020-01-01,1,Ciutat Vella,1,el Raval,2,1003,6,19
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,131,0
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,121,1
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,116,2
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,137,3
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,188,4
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,335,5
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,359,6
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,336,7
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,253,8
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,233,9
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,180,10
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,145,11
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,103,12
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,82,13
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,70,14
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,62,15
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,27,16
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,34,17
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,20,18
2020-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,19
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,98,0
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,97,1
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,92,2
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,94,3
2020-01-01,1,Ciutat Vella,1,el Raval,3,1005,151,4
