Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,SEXE,EDAT_Q
2005-01-01,1,Ciutat Vella,1,el Raval,30,1,0
2005-01-01,1,Ciutat Vella,1,el Raval,5,1,1
2005-01-01,1,Ciutat Vella,1,el Raval,..,1,2
2005-01-01,1,Ciutat Vella,1,el Raval,8,1,3
2005-01-01,1,Ciutat Vella,1,el Raval,66,1,4
2005-01-01,1,Ciutat Vella,1,el Raval,228,1,5
2005-01-01,1,Ciutat Vella,1,el Raval,283,1,6
2005-01-01,1,Ciutat Vella,1,el Raval,196,1,7
2005-01-01,1,Ciutat Vella,1,el Raval,157,1,8
2005-01-01,1,Ciutat Vella,1,el Raval,141,1,9
2005-01-01,1,Ciutat Vella,1,el Raval,130,1,10
2005-01-01,1,Ciutat Vella,1,el Raval,152,1,11
2005-01-01,1,Ciutat Vella,1,el Raval,139,1,12
2005-01-01,1,Ciutat Vella,1,el Raval,222,1,13
2005-01-01,1,Ciutat Vella,1,el Raval,334,1,14
2005-01-01,1,Ciutat Vella,1,el Raval,476,1,15
2005-01-01,1,Ciutat Vella,1,el Raval,451,1,16
2005-01-01,1,Ciutat Vella,1,el Raval,227,1,17
2005-01-01,1,Ciutat Vella,1,el Raval,85,1,18
2005-01-01,1,Ciutat Vella,1,el Raval,18,1,19
2005-01-01,1,Ciutat Vella,1,el Raval,..,1,20
2005-01-01,1,Ciutat Vella,1,el Raval,30,2,0
2005-01-01,1,Ciutat Vella,1,el Raval,5,2,1
2005-01-01,1,Ciutat Vella,1,el Raval,..,2,2
2005-01-01,1,Ciutat Vella,1,el Raval,7,2,3
2005-01-01,1,Ciutat Vella,1,el Raval,93,2,4
2005-01-01,1,Ciutat Vella,1,el Raval,260,2,5
2005-01-01,1,Ciutat Vella,1,el Raval,368,2,6
2005-01-01,1,Ciutat Vella,1,el Raval,324,2,7
2005-01-01,1,Ciutat Vella,1,el Raval,246,2,8
2005-01-01,1,Ciutat Vella,1,el Raval,190,2,9
2005-01-01,1,Ciutat Vella,1,el Raval,181,2,10
2005-01-01,1,Ciutat Vella,1,el Raval,195,2,11
2005-01-01,1,Ciutat Vella,1,el Raval,201,2,12
2005-01-01,1,Ciutat Vella,1,el Raval,211,2,13
2005-01-01,1,Ciutat Vella,1,el Raval,182,2,14
2005-01-01,1,Ciutat Vella,1,el Raval,139,2,15
2005-01-01,1,Ciutat Vella,1,el Raval,98,2,16
2005-01-01,1,Ciutat Vella,1,el Raval,45,2,17
2005-01-01,1,Ciutat Vella,1,el Raval,15,2,18
2005-01-01,1,Ciutat Vella,1,el Raval,..,2,19
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,15,1,0
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,1,2
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,1,3
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,32,1,4
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,128,1,5
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,137,1,6
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,98,1,7
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,85,1,8
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,53,1,9
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,68,1,10
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,67,1,11
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,71,1,12
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,71,1,13
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,117,1,14
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,169,1,15
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,180,1,16
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,106,1,17
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,54,1,18
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1,19
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,1,20
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,14,2,0
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,2,1
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,2,2
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,2,3
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,26,2,4
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,115,2,5
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,185,2,6
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,152,2,7
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,130,2,8
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,97,2,9
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,100,2,10
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,101,2,11
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,61,2,12
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,53,2,13
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,68,2,14
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,37,2,15
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,42,2,16
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,25,2,17
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,13,2,18
2005-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,2,19
2005-01-01,1,Ciutat Vella,3,la Barceloneta,..,1,0
2005-01-01,1,Ciutat Vella,3,la Barceloneta,..,1,2
2005-01-01,1,Ciutat Vella,3,la Barceloneta,..,1,3
2005-01-01,1,Ciutat Vella,3,la Barceloneta,42,1,4
2005-01-01,1,Ciutat Vella,3,la Barceloneta,97,1,5
2005-01-01,1,Ciutat Vella,3,la Barceloneta,116,1,6
2005-01-01,1,Ciutat Vella,3,la Barceloneta,62,1,7
2005-01-01,1,Ciutat Vella,3,la Barceloneta,47,1,8
2005-01-01,1,Ciutat Vella,3,la Barceloneta,52,1,9
2005-01-01,1,Ciutat Vella,3,la Barceloneta,53,1,10
2005-01-01,1,Ciutat Vella,3,la Barceloneta,56,1,11
2005-01-01,1,Ciutat Vella,3,la Barceloneta,84,1,12
2005-01-01,1,Ciutat Vella,3,la Barceloneta,96,1,13
2005-01-01,1,Ciutat Vella,3,la Barceloneta,182,1,14
2005-01-01,1,Ciutat Vella,3,la Barceloneta,222,1,15
2005-01-01,1,Ciutat Vella,3,la Barceloneta,231,1,16
2005-01-01,1,Ciutat Vella,3,la Barceloneta,114,1,17
2005-01-01,1,Ciutat Vella,3,la Barceloneta,49,1,18
2005-01-01,1,Ciutat Vella,3,la Barceloneta,6,1,19
2005-01-01,1,Ciutat Vella,3,la Barceloneta,11,2,0
2005-01-01,1,Ciutat Vella,3,la Barceloneta,..,2,1
2005-01-01,1,Ciutat Vella,3,la Barceloneta,..,2,3
2005-01-01,1,Ciutat Vella,3,la Barceloneta,29,2,4
2005-01-01,1,Ciutat Vella,3,la Barceloneta,84,2,5
2005-01-01,1,Ciutat Vella,3,la Barceloneta,130,2,6
2005-01-01,1,Ciutat Vella,3,la Barceloneta,120,2,7
2005-01-01,1,Ciutat Vella,3,la Barceloneta,89,2,8
2005-01-01,1,Ciutat Vella,3,la Barceloneta,76,2,9
2005-01-01,1,Ciutat Vella,3,la Barceloneta,61,2,10
2005-01-01,1,Ciutat Vella,3,la Barceloneta,71,2,11
2005-01-01,1,Ciutat Vella,3,la Barceloneta,56,2,12
2005-01-01,1,Ciutat Vella,3,la Barceloneta,53,2,13
2005-01-01,1,Ciutat Vella,3,la Barceloneta,62,2,14
2005-01-01,1,Ciutat Vella,3,la Barceloneta,47,2,15
2005-01-01,1,Ciutat Vella,3,la Barceloneta,35,2,16
2005-01-01,1,Ciutat Vella,3,la Barceloneta,16,2,17
2005-01-01,1,Ciutat Vella,3,la Barceloneta,10,2,18
2005-01-01,1,Ciutat Vella,3,la Barceloneta,..,2,19
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",13,1,0
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",6,1,1
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",..,1,2
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",5,1,3
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,1,4
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",176,1,5
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",235,1,6
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",151,1,7
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",126,1,8
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",83,1,9
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",81,1,10
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",97,1,11
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",75,1,12
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",99,1,13
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",216,1,14
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",260,1,15
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",264,1,16
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",163,1,17
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",78,1,18
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",11,1,19
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",..,1,20
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,2,0
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",5,2,1
2005-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",..,2,2
