Municipios,Distritos,Secciones,Índice de Gini y Distribución de la renta P80/P20,Periodo,Total
08019 Barcelona,,,Índice de Gini,2023,34.9
08019 Barcelona,,,Índice de Gini,2022,35.1
08019 Barcelona,,,Índice de Gini,2021,35.1
08019 Barcelona,,,Índice de Gini,2020,35.7
08019 Barcelona,,,Índice de Gini,2019,35.8
08019 Barcelona,,,Índice de Gini,2018,36.2
08019 Barcelona,,,Índice de Gini,2017,36.4
08019 Barcelona,,,Índice de Gini,2016,37
08019 Barcelona,,,Índice de Gini,2015,36.8
08019 Barcelona,,,Distribución de la renta P80/P20,2023,3
08019 Barcelona,,,Distribución de la renta P80/P20,2022,3
08019 Barcelona,,,Distribución de la renta P80/P20,2021,3.1
08019 Barcelona,,,Distribución de la renta P80/P20,2020,3.1
08019 Barcelona,,,Distribución de la renta P80/P20,2019,3.1
08019 Barcelona,,,Distribución de la renta P80/P20,2018,3.2
08019 Barcelona,,,Distribución de la renta P80/P20,2017,3.1
08019 Barcelona,,,Distribución de la renta P80/P20,2016,3.3
08019 Barcelona,,,Distribución de la renta P80/P20,2015,3.2
08019 Barcelona,0801901 Barcelona distrito 01,,Índice de Gini,2023,36.5
08019 Barcelona,0801901 Barcelona distrito 01,,Índice de Gini,2022,36.7
08019 Barcelona,0801901 Barcelona distrito 01,,Índice de Gini,2021,37.1
08019 Barcelona,0801901 Barcelona distrito 01,,Índice de Gini,2020,38.3
08019 Barcelona,0801901 Barcelona distrito 01,,Índice de Gini,2019,37.3
08019 Barcelona,0801901 Barcelona distrito 01,,Índice de Gini,2018,38.3
08019 Barcelona,0801901 Barcelona distrito 01,,Índice de Gini,2017,38.4
08019 Barcelona,0801901 Barcelona distrito 01,,Índice de Gini,2016,39.4
08019 Barcelona,0801901 Barcelona distrito 01,,Índice de Gini,2015,39.2
08019 Barcelona,0801901 Barcelona distrito 01,,Distribución de la renta P80/P20,2023,3.2
08019 Barcelona,0801901 Barcelona distrito 01,,Distribución de la renta P80/P20,2022,3.3
08019 Barcelona,0801901 Barcelona distrito 01,,Distribución de la renta P80/P20,2021,3.3
08019 Barcelona,0801901 Barcelona distrito 01,,Distribución de la renta P80/P20,2020,3.4
08019 Barcelona,0801901 Barcelona distrito 01,,Distribución de la renta P80/P20,2019,3.2
08019 Barcelona,0801901 Barcelona distrito 01,,Distribución de la renta P80/P20,2018,3.4
08019 Barcelona,0801901 Barcelona distrito 01,,Distribución de la renta P80/P20,2017,3.3
08019 Barcelona,0801901 Barcelona distrito 01,,Distribución de la renta P80/P20,2016,3.6
08019 Barcelona,0801901 Barcelona distrito 01,,Distribución de la renta P80/P20,2015,3.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901001 Barcelona sección 01001,Índice de Gini,2023,34.2
08019 Barcelona,0801901 Barcelona distrito 01,0801901001 Barcelona sección 01001,Índice de Gini,2022,35.6
08019 Barcelona,0801901 Barcelona distrito 01,0801901001 Barcelona sección 01001,Índice de Gini,2021,37.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901001 Barcelona sección 01001,Índice de Gini,2020,38
08019 Barcelona,0801901 Barcelona distrito 01,0801901001 Barcelona sección 01001,Índice de Gini,2019,35.6
08019 Barcelona,0801901 Barcelona distrito 01,0801901001 Barcelona sección 01001,Índice de Gini,2018,36
08019 Barcelona,0801901 Barcelona distrito 01,0801901001 Barcelona sección 01001,Índice de Gini,2017,33.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901001 Barcelona sección 01001,Índice de Gini,2016,34.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901001 Barcelona sección 01001,Índice de Gini,2015,36.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901001 Barcelona sección 01001,Distribución de la renta P80/P20,2023,3.2
08019 Barcelona,0801901 Barcelona distrito 01,0801901001 Barcelona sección 01001,Distribución de la renta P80/P20,2022,3.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901001 Barcelona sección 01001,Distribución de la renta P80/P20,2021,3.6
08019 Barcelona,0801901 Barcelona distrito 01,0801901001 Barcelona sección 01001,Distribución de la renta P80/P20,2020,3.8
08019 Barcelona,0801901 Barcelona distrito 01,0801901001 Barcelona sección 01001,Distribución de la renta P80/P20,2019,3.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901001 Barcelona sección 01001,Distribución de la renta P80/P20,2018,3.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901001 Barcelona sección 01001,Distribución de la renta P80/P20,2017,3
08019 Barcelona,0801901 Barcelona distrito 01,0801901001 Barcelona sección 01001,Distribución de la renta P80/P20,2016,2.9
08019 Barcelona,0801901 Barcelona distrito 01,0801901001 Barcelona sección 01001,Distribución de la renta P80/P20,2015,3
08019 Barcelona,0801901 Barcelona distrito 01,0801901002 Barcelona sección 01002,Índice de Gini,2023,34.7
08019 Barcelona,0801901 Barcelona distrito 01,0801901002 Barcelona sección 01002,Índice de Gini,2022,34.8
08019 Barcelona,0801901 Barcelona distrito 01,0801901002 Barcelona sección 01002,Índice de Gini,2021,35.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901002 Barcelona sección 01002,Índice de Gini,2020,37.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901002 Barcelona sección 01002,Índice de Gini,2019,38.2
08019 Barcelona,0801901 Barcelona distrito 01,0801901002 Barcelona sección 01002,Índice de Gini,2018,37.9
08019 Barcelona,0801901 Barcelona distrito 01,0801901002 Barcelona sección 01002,Índice de Gini,2017,38.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901002 Barcelona sección 01002,Índice de Gini,2016,38.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901002 Barcelona sección 01002,Índice de Gini,2015,40.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901002 Barcelona sección 01002,Distribución de la renta P80/P20,2023,3
08019 Barcelona,0801901 Barcelona distrito 01,0801901002 Barcelona sección 01002,Distribución de la renta P80/P20,2022,2.7
08019 Barcelona,0801901 Barcelona distrito 01,0801901002 Barcelona sección 01002,Distribución de la renta P80/P20,2021,2.9
08019 Barcelona,0801901 Barcelona distrito 01,0801901002 Barcelona sección 01002,Distribución de la renta P80/P20,2020,3.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901002 Barcelona sección 01002,Distribución de la renta P80/P20,2019,3.7
08019 Barcelona,0801901 Barcelona distrito 01,0801901002 Barcelona sección 01002,Distribución de la renta P80/P20,2018,3.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901002 Barcelona sección 01002,Distribución de la renta P80/P20,2017,3.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901002 Barcelona sección 01002,Distribución de la renta P80/P20,2016,3.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901002 Barcelona sección 01002,Distribución de la renta P80/P20,2015,4.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901003 Barcelona sección 01003,Índice de Gini,2023,35.9
08019 Barcelona,0801901 Barcelona distrito 01,0801901003 Barcelona sección 01003,Índice de Gini,2022,36.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901003 Barcelona sección 01003,Índice de Gini,2021,36.2
08019 Barcelona,0801901 Barcelona distrito 01,0801901003 Barcelona sección 01003,Índice de Gini,2020,38.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901003 Barcelona sección 01003,Índice de Gini,2019,36.8
08019 Barcelona,0801901 Barcelona distrito 01,0801901003 Barcelona sección 01003,Índice de Gini,2018,36.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901003 Barcelona sección 01003,Índice de Gini,2017,37.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901003 Barcelona sección 01003,Índice de Gini,2016,38.2
08019 Barcelona,0801901 Barcelona distrito 01,0801901003 Barcelona sección 01003,Índice de Gini,2015,38.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901003 Barcelona sección 01003,Distribución de la renta P80/P20,2023,3.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901003 Barcelona sección 01003,Distribución de la renta P80/P20,2022,3.2
08019 Barcelona,0801901 Barcelona distrito 01,0801901003 Barcelona sección 01003,Distribución de la renta P80/P20,2021,3.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901003 Barcelona sección 01003,Distribución de la renta P80/P20,2020,3.7
08019 Barcelona,0801901 Barcelona distrito 01,0801901003 Barcelona sección 01003,Distribución de la renta P80/P20,2019,3.7
08019 Barcelona,0801901 Barcelona distrito 01,0801901003 Barcelona sección 01003,Distribución de la renta P80/P20,2018,3.5
08019 Barcelona,0801901 Barcelona distrito 01,0801901003 Barcelona sección 01003,Distribución de la renta P80/P20,2017,3.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901003 Barcelona sección 01003,Distribución de la renta P80/P20,2016,3.8
08019 Barcelona,0801901 Barcelona distrito 01,0801901003 Barcelona sección 01003,Distribución de la renta P80/P20,2015,3.6
08019 Barcelona,0801901 Barcelona distrito 01,0801901004 Barcelona sección 01004,Índice de Gini,2023,35.9
08019 Barcelona,0801901 Barcelona distrito 01,0801901004 Barcelona sección 01004,Índice de Gini,2022,35.6
08019 Barcelona,0801901 Barcelona distrito 01,0801901004 Barcelona sección 01004,Índice de Gini,2021,35
08019 Barcelona,0801901 Barcelona distrito 01,0801901004 Barcelona sección 01004,Índice de Gini,2020,37.3
08019 Barcelona,0801901 Barcelona distrito 01,0801901004 Barcelona sección 01004,Índice de Gini,2019,37.1
08019 Barcelona,0801901 Barcelona distrito 01,0801901004 Barcelona sección 01004,Índice de Gini,2018,37.6
08019 Barcelona,0801901 Barcelona distrito 01,0801901004 Barcelona sección 01004,Índice de Gini,2017,37.8
08019 Barcelona,0801901 Barcelona distrito 01,0801901004 Barcelona sección 01004,Índice de Gini,2016,40
08019 Barcelona,0801901 Barcelona distrito 01,0801901004 Barcelona sección 01004,Índice de Gini,2015,40.4
08019 Barcelona,0801901 Barcelona distrito 01,0801901004 Barcelona sección 01004,Distribución de la renta P80/P20,2023,2.9
08019 Barcelona,0801901 Barcelona distrito 01,0801901004 Barcelona sección 01004,Distribución de la renta P80/P20,2022,3.1
