Nom: Mitjana i mediana de la renda per unitat de consum per municipis
ID: 2082
Descripció: Renda neta mitjana per unitat de consum.<br><br><br>Renda neta mediana per unitat de consum.
Unitats: Euros anuals
Font: INE: Atlas de distribución de renta de los hogares
Variables implícites a la graella: Any: 2022
Última actualització: 30-05-2025

Nom Àmbit;Mitjana de la renda per unitat de consum;Mediana de la renda per unitat de consum
Badalona;20.712;18.550
Badia del Vallès;17.791;17.150
Barberà del Vallès;23.053;21.350
Barcelona;27.189;22.750
Begues;31.613;27.650
Castellbisbal;24.534;22.750
Castelldefels;27.277;22.750
Cerdanyola del Vallès;25.796;22.750
Cervelló;26.585;24.150
Corbera de Llobregat;26.331;23.450
Cornellà de Llobregat;20.975;19.250
Esplugues de Llobregat;25.936;21.350
Gavà;24.495;21.350
Hospitalet de Llobregat, l';18.835;17.150
Molins de Rei;26.384;23.450
Montcada i Reixac;20.928;19.250
Montgat;26.340;23.450
Pallejà;26.516;24.150
Palma de Cervelló, la;26.940;24.850
Papiol, el;25.089;22.750
Prat de Llobregat, el;22.248;20.650
Ripollet;20.520;19.250
Sant Adrià de Besòs;18.935;17.150
Sant Andreu de la Barca;22.381;20.650
Sant Boi de Llobregat;21.810;20.650
Sant Climent de Llobregat;25.261;23.450
Sant Cugat del Vallès;37.720;31.150
Sant Feliu de Llobregat;25.294;22.750
Sant Joan Despí;26.165;23.450
Sant Just Desvern;37.435;29.750
Sant Vicenç dels Horts;21.695;20.650
Santa Coloma de Cervelló;26.638;24.150
Santa Coloma de Gramenet;17.848;16.450
Tiana;34.673;29.750
Torrelles de Llobregat;27.002;24.850
Viladecans;22.579;20.650
