Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Mediana_Renda_€
2020,1,Ciutat Vella,1,el Raval,1,12950
2020,1,Ciutat Vella,1,el Raval,2,9450
2020,1,Ciutat Vella,1,el Raval,3,10150
2020,1,Ciutat Vella,1,el Raval,4,12250
2020,1,Ciutat Vella,1,el Raval,5,10850
2020,1,Ciutat Vella,1,el Raval,6,10850
2020,1,Ciutat Vella,1,el Raval,7,10150
2020,1,Ciutat Vella,1,el Raval,8,8750
2020,1,Ciutat Vella,1,el Raval,9,11550
2020,1,Ciutat Vella,1,el Raval,10,9450
2020,1,Ciutat Vella,1,el Raval,11,9450
2020,1,Ciutat Vella,1,el Raval,12,12250
2020,1,Ciutat Vella,1,el Raval,13,12950
2020,1,Ciutat Vella,1,el Raval,14,12950
2020,1,Ciutat Vella,1,el Raval,15,11550
2020,1,Ciutat Vella,1,el Raval,16,12950
2020,1,Ciutat Vella,1,el Raval,17,11550
2020,1,Ciutat Vella,1,el Raval,18,12250
2020,1,Ciutat Vella,1,el Raval,19,10850
2020,1,Ciutat Vella,1,el Raval,20,16450
2020,1,Ciutat Vella,1,el Raval,21,15050
2020,1,Ciutat Vella,2,el Barri Gòtic,22,18550
2020,1,Ciutat Vella,2,el Barri Gòtic,23,16450
2020,1,Ciutat Vella,2,el Barri Gòtic,25,15050
2020,1,Ciutat Vella,2,el Barri Gòtic,26,15750
2020,1,Ciutat Vella,2,el Barri Gòtic,27,15050
2020,1,Ciutat Vella,2,el Barri Gòtic,28,14350
2020,1,Ciutat Vella,2,el Barri Gòtic,29,11550
2020,1,Ciutat Vella,2,el Barri Gòtic,30,12950
2020,1,Ciutat Vella,2,el Barri Gòtic,31,10850
2020,1,Ciutat Vella,3,la Barceloneta,32,15750
2020,1,Ciutat Vella,3,la Barceloneta,33,14350
2020,1,Ciutat Vella,3,la Barceloneta,34,15050
2020,1,Ciutat Vella,3,la Barceloneta,35,14700
2020,1,Ciutat Vella,3,la Barceloneta,36,16450
2020,1,Ciutat Vella,3,la Barceloneta,37,17150
2020,1,Ciutat Vella,3,la Barceloneta,38,13650
2020,1,Ciutat Vella,3,la Barceloneta,39,15750
2020,1,Ciutat Vella,3,la Barceloneta,40,15050
2020,1,Ciutat Vella,3,la Barceloneta,41,13650
2020,1,Ciutat Vella,3,la Barceloneta,42,15750
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,19950
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,17150
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,15750
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,15050
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,12950
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,11550
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,15750
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,14350
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,12250
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,20650
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,13650
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,15050
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,19250
2020,2,L'Eixample,5,el Fort Pienc,1,21350
2020,2,L'Eixample,5,el Fort Pienc,2,22050
2020,2,L'Eixample,5,el Fort Pienc,3,26250
2020,2,L'Eixample,5,el Fort Pienc,4,19250
2020,2,L'Eixample,5,el Fort Pienc,5,24850
2020,2,L'Eixample,5,el Fort Pienc,6,24850
2020,2,L'Eixample,5,el Fort Pienc,7,26250
2020,2,L'Eixample,5,el Fort Pienc,8,24150
2020,2,L'Eixample,5,el Fort Pienc,9,23450
2020,2,L'Eixample,5,el Fort Pienc,10,23450
2020,2,L'Eixample,5,el Fort Pienc,11,22750
2020,2,L'Eixample,5,el Fort Pienc,12,18550
2020,2,L'Eixample,5,el Fort Pienc,13,19250
2020,2,L'Eixample,5,el Fort Pienc,14,18550
2020,2,L'Eixample,5,el Fort Pienc,15,19250
2020,2,L'Eixample,5,el Fort Pienc,16,23450
2020,2,L'Eixample,5,el Fort Pienc,17,24850
2020,2,L'Eixample,5,el Fort Pienc,18,25550
2020,2,L'Eixample,5,el Fort Pienc,19,22750
2020,2,L'Eixample,5,el Fort Pienc,20,19950
2020,2,L'Eixample,6,la Sagrada Família,21,20650
2020,2,L'Eixample,6,la Sagrada Família,22,20650
2020,2,L'Eixample,6,la Sagrada Família,23,22750
2020,2,L'Eixample,6,la Sagrada Família,24,19950
2020,2,L'Eixample,6,la Sagrada Família,25,19950
2020,2,L'Eixample,6,la Sagrada Família,26,21350
2020,2,L'Eixample,6,la Sagrada Família,27,21350
2020,2,L'Eixample,6,la Sagrada Família,28,22050
2020,2,L'Eixample,6,la Sagrada Família,29,22050
2020,2,L'Eixample,6,la Sagrada Família,30,18550
2020,2,L'Eixample,6,la Sagrada Família,31,24850
2020,2,L'Eixample,6,la Sagrada Família,32,23450
2020,2,L'Eixample,6,la Sagrada Família,33,22750
2020,2,L'Eixample,6,la Sagrada Família,34,18550
2020,2,L'Eixample,6,la Sagrada Família,35,22750
2020,2,L'Eixample,6,la Sagrada Família,36,26250
2020,2,L'Eixample,6,la Sagrada Família,37,26250
2020,2,L'Eixample,6,la Sagrada Família,38,25550
2020,2,L'Eixample,6,la Sagrada Família,39,22050
2020,2,L'Eixample,6,la Sagrada Família,40,18900
2020,2,L'Eixample,6,la Sagrada Família,41,21350
2020,2,L'Eixample,6,la Sagrada Família,42,26950
2020,2,L'Eixample,6,la Sagrada Família,43,22750
2020,2,L'Eixample,6,la Sagrada Família,44,19950
2020,2,L'Eixample,6,la Sagrada Família,45,22750
2020,2,L'Eixample,6,la Sagrada Família,46,21350
2020,2,L'Eixample,6,la Sagrada Família,47,20650
2020,2,L'Eixample,6,la Sagrada Família,48,20650
2020,2,L'Eixample,6,la Sagrada Família,49,17150
2020,2,L'Eixample,6,la Sagrada Família,50,19250
2020,2,L'Eixample,6,la Sagrada Família,51,18550
2020,2,L'Eixample,6,la Sagrada Família,52,22050
2020,2,L'Eixample,6,la Sagrada Família,53,22750
2020,2,L'Eixample,6,la Sagrada Família,54,23450
2020,2,L'Eixample,7,la Dreta de l'Eixample,55,23450
2020,2,L'Eixample,7,la Dreta de l'Eixample,56,24850
2020,2,L'Eixample,7,la Dreta de l'Eixample,57,29050
2020,2,L'Eixample,7,la Dreta de l'Eixample,58,28350
2020,2,L'Eixample,7,la Dreta de l'Eixample,59,27650
2020,2,L'Eixample,7,la Dreta de l'Eixample,60,24850
2020,2,L'Eixample,7,la Dreta de l'Eixample,61,22050
2020,2,L'Eixample,7,la Dreta de l'Eixample,62,26250
2020,2,L'Eixample,7,la Dreta de l'Eixample,63,31150
2020,2,L'Eixample,7,la Dreta de l'Eixample,64,29750
2020,2,L'Eixample,7,la Dreta de l'Eixample,65,24150
2020,2,L'Eixample,7,la Dreta de l'Eixample,66,25550
2020,2,L'Eixample,7,la Dreta de l'Eixample,67,22050
2020,2,L'Eixample,7,la Dreta de l'Eixample,68,24150
2020,2,L'Eixample,7,la Dreta de l'Eixample,69,26950
2020,2,L'Eixample,7,la Dreta de l'Eixample,70,25550
2020,2,L'Eixample,7,la Dreta de l'Eixample,71,28000
2020,2,L'Eixample,7,la Dreta de l'Eixample,72,29750
2020,2,L'Eixample,7,la Dreta de l'Eixample,73,27650
2020,2,L'Eixample,7,la Dreta de l'Eixample,74,25550
2020,2,L'Eixample,7,la Dreta de l'Eixample,75,25550
2020,2,L'Eixample,7,la Dreta de l'Eixample,76,29750
2020,2,L'Eixample,7,la Dreta de l'Eixample,77,24150
2020,2,L'Eixample,7,la Dreta de l'Eixample,78,26250
2020,2,L'Eixample,7,la Dreta de l'Eixample,79,26600
2020,2,L'Eixample,7,la Dreta de l'Eixample,80,27650
2020,2,L'Eixample,7,la Dreta de l'Eixample,81,28350
2020,2,L'Eixample,7,la Dreta de l'Eixample,82,26950
2020,2,L'Eixample,7,la Dreta de l'Eixample,83,29050
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,84,26250
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,85,26250
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,86,27650
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,87,25550
2020,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,88,26950
