Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Mitjana_Renda_€
2018,1,Ciutat Vella,1,el Raval,1,14983
2018,1,Ciutat Vella,1,el Raval,2,12081
2018,1,Ciutat Vella,1,el Raval,3,12682
2018,1,Ciutat Vella,1,el Raval,4,15620
2018,1,Ciutat Vella,1,el Raval,5,12621
2018,1,Ciutat Vella,1,el Raval,6,14884
2018,1,Ciutat Vella,1,el Raval,7,13673
2018,1,Ciutat Vella,1,el Raval,8,11152
2018,1,Ciutat Vella,1,el Raval,9,12983
2018,1,Ciutat Vella,1,el Raval,10,11759
2018,1,Ciutat Vella,1,el Raval,11,11446
2018,1,Ciutat Vella,1,el Raval,12,13910
2018,1,Ciutat Vella,1,el Raval,13,15296
2018,1,Ciutat Vella,1,el Raval,14,13886
2018,1,Ciutat Vella,1,el Raval,15,13699
2018,1,Ciutat Vella,1,el Raval,16,13630
2018,1,Ciutat Vella,1,el Raval,17,13517
2018,1,Ciutat Vella,1,el Raval,18,13630
2018,1,Ciutat Vella,1,el Raval,19,13100
2018,1,Ciutat Vella,1,el Raval,20,19894
2018,1,Ciutat Vella,1,el Raval,21,19011
2018,1,Ciutat Vella,2,el Barri Gòtic,22,24300
2018,1,Ciutat Vella,2,el Barri Gòtic,23,19786
2018,1,Ciutat Vella,2,el Barri Gòtic,25,18947
2018,1,Ciutat Vella,2,el Barri Gòtic,26,18105
2018,1,Ciutat Vella,2,el Barri Gòtic,27,16915
2018,1,Ciutat Vella,2,el Barri Gòtic,28,17617
2018,1,Ciutat Vella,2,el Barri Gòtic,29,15132
2018,1,Ciutat Vella,2,el Barri Gòtic,30,15726
2018,1,Ciutat Vella,2,el Barri Gòtic,31,17116
2018,1,Ciutat Vella,3,la Barceloneta,32,18719
2018,1,Ciutat Vella,3,la Barceloneta,33,15823
2018,1,Ciutat Vella,3,la Barceloneta,34,15950
2018,1,Ciutat Vella,3,la Barceloneta,35,15891
2018,1,Ciutat Vella,3,la Barceloneta,36,17712
2018,1,Ciutat Vella,3,la Barceloneta,37,17593
2018,1,Ciutat Vella,3,la Barceloneta,38,15629
2018,1,Ciutat Vella,3,la Barceloneta,39,18083
2018,1,Ciutat Vella,3,la Barceloneta,40,18347
2018,1,Ciutat Vella,3,la Barceloneta,41,14896
2018,1,Ciutat Vella,3,la Barceloneta,42,18250
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,24020
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,22428
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,18202
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,20683
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,16391
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,14325
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,18208
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,17726
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,14523
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,27075
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,16260
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,17019
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,21638
2018,2,L'Eixample,5,el Fort Pienc,1,24226
2018,2,L'Eixample,5,el Fort Pienc,2,24228
2018,2,L'Eixample,5,el Fort Pienc,3,26583
2018,2,L'Eixample,5,el Fort Pienc,4,20588
2018,2,L'Eixample,5,el Fort Pienc,5,27332
2018,2,L'Eixample,5,el Fort Pienc,6,26328
2018,2,L'Eixample,5,el Fort Pienc,7,29919
2018,2,L'Eixample,5,el Fort Pienc,8,26263
2018,2,L'Eixample,5,el Fort Pienc,9,25299
2018,2,L'Eixample,5,el Fort Pienc,10,24057
2018,2,L'Eixample,5,el Fort Pienc,11,27094
2018,2,L'Eixample,5,el Fort Pienc,12,20785
2018,2,L'Eixample,5,el Fort Pienc,13,21203
2018,2,L'Eixample,5,el Fort Pienc,14,20260
2018,2,L'Eixample,5,el Fort Pienc,15,20683
2018,2,L'Eixample,5,el Fort Pienc,16,28423
2018,2,L'Eixample,5,el Fort Pienc,17,26871
2018,2,L'Eixample,5,el Fort Pienc,18,28154
2018,2,L'Eixample,5,el Fort Pienc,19,24328
2018,2,L'Eixample,5,el Fort Pienc,20,21390
2018,2,L'Eixample,6,la Sagrada Família,21,22984
2018,2,L'Eixample,6,la Sagrada Família,22,24622
2018,2,L'Eixample,6,la Sagrada Família,23,24596
2018,2,L'Eixample,6,la Sagrada Família,24,21283
2018,2,L'Eixample,6,la Sagrada Família,25,21103
2018,2,L'Eixample,6,la Sagrada Família,26,24336
2018,2,L'Eixample,6,la Sagrada Família,27,24455
2018,2,L'Eixample,6,la Sagrada Família,28,27406
2018,2,L'Eixample,6,la Sagrada Família,29,24205
2018,2,L'Eixample,6,la Sagrada Família,30,19234
2018,2,L'Eixample,6,la Sagrada Família,31,29053
2018,2,L'Eixample,6,la Sagrada Família,32,24485
2018,2,L'Eixample,6,la Sagrada Família,33,24315
2018,2,L'Eixample,6,la Sagrada Família,34,20115
2018,2,L'Eixample,6,la Sagrada Família,35,24317
2018,2,L'Eixample,6,la Sagrada Família,36,27355
2018,2,L'Eixample,6,la Sagrada Família,37,27890
2018,2,L'Eixample,6,la Sagrada Família,38,26492
2018,2,L'Eixample,6,la Sagrada Família,39,23302
2018,2,L'Eixample,6,la Sagrada Família,40,20773
2018,2,L'Eixample,6,la Sagrada Família,41,23436
2018,2,L'Eixample,6,la Sagrada Família,42,28352
2018,2,L'Eixample,6,la Sagrada Família,43,26271
2018,2,L'Eixample,6,la Sagrada Família,44,21474
2018,2,L'Eixample,6,la Sagrada Família,45,25058
2018,2,L'Eixample,6,la Sagrada Família,46,22248
2018,2,L'Eixample,6,la Sagrada Família,47,23417
2018,2,L'Eixample,6,la Sagrada Família,48,23421
2018,2,L'Eixample,6,la Sagrada Família,49,21213
2018,2,L'Eixample,6,la Sagrada Família,50,23051
2018,2,L'Eixample,6,la Sagrada Família,51,22568
2018,2,L'Eixample,6,la Sagrada Família,52,24331
2018,2,L'Eixample,6,la Sagrada Família,53,25360
2018,2,L'Eixample,6,la Sagrada Família,54,26424
2018,2,L'Eixample,7,la Dreta de l'Eixample,55,26328
2018,2,L'Eixample,7,la Dreta de l'Eixample,56,26590
2018,2,L'Eixample,7,la Dreta de l'Eixample,57,34719
2018,2,L'Eixample,7,la Dreta de l'Eixample,58,29908
2018,2,L'Eixample,7,la Dreta de l'Eixample,59,30822
2018,2,L'Eixample,7,la Dreta de l'Eixample,60,27384
2018,2,L'Eixample,7,la Dreta de l'Eixample,61,25544
2018,2,L'Eixample,7,la Dreta de l'Eixample,62,31680
2018,2,L'Eixample,7,la Dreta de l'Eixample,63,38851
2018,2,L'Eixample,7,la Dreta de l'Eixample,64,34031
2018,2,L'Eixample,7,la Dreta de l'Eixample,65,29806
2018,2,L'Eixample,7,la Dreta de l'Eixample,66,27519
2018,2,L'Eixample,7,la Dreta de l'Eixample,67,24422
2018,2,L'Eixample,7,la Dreta de l'Eixample,68,26237
2018,2,L'Eixample,7,la Dreta de l'Eixample,69,30488
2018,2,L'Eixample,7,la Dreta de l'Eixample,70,29699
2018,2,L'Eixample,7,la Dreta de l'Eixample,71,33843
2018,2,L'Eixample,7,la Dreta de l'Eixample,72,37021
2018,2,L'Eixample,7,la Dreta de l'Eixample,73,33591
2018,2,L'Eixample,7,la Dreta de l'Eixample,74,34273
2018,2,L'Eixample,7,la Dreta de l'Eixample,75,29360
2018,2,L'Eixample,7,la Dreta de l'Eixample,76,35933
2018,2,L'Eixample,7,la Dreta de l'Eixample,77,33195
