Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_00_18
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,407,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,52,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,28,3
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,10,4
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,5
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,453,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,53,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,38,3
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,11,4
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,5
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,810,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,134,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,91,3
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,33,4
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,23,5
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,876,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,135,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,83,3
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,23,4
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,10,5
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,776,1
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,85,2
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,36,3
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,16,4
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,10,5
2008-01-01,1,Ciutat Vella,1,el Raval,3,1006,546,1
2008-01-01,1,Ciutat Vella,1,el Raval,3,1006,48,2
2008-01-01,1,Ciutat Vella,1,el Raval,3,1006,41,3
2008-01-01,1,Ciutat Vella,1,el Raval,3,1006,9,4
2008-01-01,1,Ciutat Vella,1,el Raval,3,1006,10,5
2008-01-01,1,Ciutat Vella,1,el Raval,3,1007,545,1
2008-01-01,1,Ciutat Vella,1,el Raval,3,1007,64,2
2008-01-01,1,Ciutat Vella,1,el Raval,3,1007,32,3
2008-01-01,1,Ciutat Vella,1,el Raval,3,1007,16,4
2008-01-01,1,Ciutat Vella,1,el Raval,3,1007,11,5
2008-01-01,1,Ciutat Vella,1,el Raval,4,1008,712,1
2008-01-01,1,Ciutat Vella,1,el Raval,4,1008,116,2
2008-01-01,1,Ciutat Vella,1,el Raval,4,1008,69,3
2008-01-01,1,Ciutat Vella,1,el Raval,4,1008,32,4
2008-01-01,1,Ciutat Vella,1,el Raval,4,1008,25,5
2008-01-01,1,Ciutat Vella,1,el Raval,4,1009,671,1
2008-01-01,1,Ciutat Vella,1,el Raval,4,1009,94,2
2008-01-01,1,Ciutat Vella,1,el Raval,4,1009,47,3
2008-01-01,1,Ciutat Vella,1,el Raval,4,1009,16,4
2008-01-01,1,Ciutat Vella,1,el Raval,4,1009,7,5
2008-01-01,1,Ciutat Vella,1,el Raval,4,1010,586,1
2008-01-01,1,Ciutat Vella,1,el Raval,4,1010,93,2
2008-01-01,1,Ciutat Vella,1,el Raval,4,1010,54,3
2008-01-01,1,Ciutat Vella,1,el Raval,4,1010,21,4
2008-01-01,1,Ciutat Vella,1,el Raval,4,1010,10,5
2008-01-01,1,Ciutat Vella,1,el Raval,5,1011,892,1
2008-01-01,1,Ciutat Vella,1,el Raval,5,1011,124,2
2008-01-01,1,Ciutat Vella,1,el Raval,5,1011,66,3
2008-01-01,1,Ciutat Vella,1,el Raval,5,1011,33,4
2008-01-01,1,Ciutat Vella,1,el Raval,5,1011,27,5
2008-01-01,1,Ciutat Vella,1,el Raval,5,1012,605,1
2008-01-01,1,Ciutat Vella,1,el Raval,5,1012,84,2
2008-01-01,1,Ciutat Vella,1,el Raval,5,1012,41,3
2008-01-01,1,Ciutat Vella,1,el Raval,5,1012,12,4
2008-01-01,1,Ciutat Vella,1,el Raval,5,1012,7,5
2008-01-01,1,Ciutat Vella,1,el Raval,5,1013,387,1
2008-01-01,1,Ciutat Vella,1,el Raval,5,1013,73,2
2008-01-01,1,Ciutat Vella,1,el Raval,5,1013,23,3
2008-01-01,1,Ciutat Vella,1,el Raval,5,1013,9,4
2008-01-01,1,Ciutat Vella,1,el Raval,5,1013,5,5
2008-01-01,1,Ciutat Vella,1,el Raval,6,1014,411,1
2008-01-01,1,Ciutat Vella,1,el Raval,6,1014,88,2
2008-01-01,1,Ciutat Vella,1,el Raval,6,1014,53,3
2008-01-01,1,Ciutat Vella,1,el Raval,6,1014,15,4
2008-01-01,1,Ciutat Vella,1,el Raval,6,1014,9,5
2008-01-01,1,Ciutat Vella,1,el Raval,6,1015,614,1
2008-01-01,1,Ciutat Vella,1,el Raval,6,1015,108,2
2008-01-01,1,Ciutat Vella,1,el Raval,6,1015,48,3
2008-01-01,1,Ciutat Vella,1,el Raval,6,1015,21,4
2008-01-01,1,Ciutat Vella,1,el Raval,6,1015,13,5
2008-01-01,1,Ciutat Vella,1,el Raval,6,1016,567,1
2008-01-01,1,Ciutat Vella,1,el Raval,6,1016,127,2
2008-01-01,1,Ciutat Vella,1,el Raval,6,1016,51,3
2008-01-01,1,Ciutat Vella,1,el Raval,6,1016,21,4
2008-01-01,1,Ciutat Vella,1,el Raval,6,1016,4,5
2008-01-01,1,Ciutat Vella,1,el Raval,6,1017,679,1
2008-01-01,1,Ciutat Vella,1,el Raval,6,1017,104,2
2008-01-01,1,Ciutat Vella,1,el Raval,6,1017,57,3
2008-01-01,1,Ciutat Vella,1,el Raval,6,1017,26,4
2008-01-01,1,Ciutat Vella,1,el Raval,6,1017,13,5
2008-01-01,1,Ciutat Vella,1,el Raval,7,1018,442,1
2008-01-01,1,Ciutat Vella,1,el Raval,7,1018,46,2
2008-01-01,1,Ciutat Vella,1,el Raval,7,1018,39,3
2008-01-01,1,Ciutat Vella,1,el Raval,7,1018,11,4
2008-01-01,1,Ciutat Vella,1,el Raval,7,1018,8,5
2008-01-01,1,Ciutat Vella,1,el Raval,7,1019,911,1
2008-01-01,1,Ciutat Vella,1,el Raval,7,1019,123,2
2008-01-01,1,Ciutat Vella,1,el Raval,7,1019,52,3
2008-01-01,1,Ciutat Vella,1,el Raval,7,1019,16,4
2008-01-01,1,Ciutat Vella,1,el Raval,7,1019,12,5
2008-01-01,1,Ciutat Vella,1,el Raval,7,1020,800,1
2008-01-01,1,Ciutat Vella,1,el Raval,7,1020,69,2
2008-01-01,1,Ciutat Vella,1,el Raval,7,1020,48,3
2008-01-01,1,Ciutat Vella,1,el Raval,7,1020,10,4
2008-01-01,1,Ciutat Vella,1,el Raval,7,1020,1,5
2008-01-01,1,Ciutat Vella,1,el Raval,8,1021,793,1
2008-01-01,1,Ciutat Vella,1,el Raval,8,1021,81,2
2008-01-01,1,Ciutat Vella,1,el Raval,8,1021,37,3
2008-01-01,1,Ciutat Vella,1,el Raval,8,1021,6,4
2008-01-01,1,Ciutat Vella,1,el Raval,8,1021,3,5
2008-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,494,1
