Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,N_PERSONES_AGG
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,190,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,140,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,81,3
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,47,4
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,33,5
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,6
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,7
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,8
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,19,9
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,227,1
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,138,2
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,71,3
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,54,4
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,24,5
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,12,6
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,9,7
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,4,8
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,10,9
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,349,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,244,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,152,3
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,122,4
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,79,5
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,51,6
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,21,7
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,21,8
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,35,9
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,419,1
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,285,2
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,180,3
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,110,4
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,68,5
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,39,6
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,15,7
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,11,8
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,27,9
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,366,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,249,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,137,3
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,103,4
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,39,5
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,25,6
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,12,7
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,7,8
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,23,9
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,221,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,153,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,99,3
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,75,4
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,31,5
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,31,6
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,12,7
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,8,8
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,16,9
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,241,1
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,168,2
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,91,3
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,63,4
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,55,5
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,35,6
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,10,7
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,11,8
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,31,9
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,345,1
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,206,2
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,144,3
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,123,4
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,103,5
