Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NACIONALITAT_G,EDAT_Q,SEXE
2003-01-01,1,Ciutat Vella,1,el Raval,458,1,0,1
2003-01-01,1,Ciutat Vella,1,el Raval,518,1,0,2
2003-01-01,1,Ciutat Vella,1,el Raval,398,1,1,1
2003-01-01,1,Ciutat Vella,1,el Raval,449,1,1,2
2003-01-01,1,Ciutat Vella,1,el Raval,424,1,2,1
2003-01-01,1,Ciutat Vella,1,el Raval,419,1,2,2
2003-01-01,1,Ciutat Vella,1,el Raval,471,1,3,1
2003-01-01,1,Ciutat Vella,1,el Raval,492,1,3,2
2003-01-01,1,Ciutat Vella,1,el Raval,640,1,4,1
2003-01-01,1,Ciutat Vella,1,el Raval,649,1,4,2
2003-01-01,1,Ciutat Vella,1,el Raval,958,1,5,1
2003-01-01,1,Ciutat Vella,1,el Raval,1002,1,5,2
2003-01-01,1,Ciutat Vella,1,el Raval,987,1,6,1
2003-01-01,1,Ciutat Vella,1,el Raval,1040,1,6,2
2003-01-01,1,Ciutat Vella,1,el Raval,935,1,7,1
2003-01-01,1,Ciutat Vella,1,el Raval,1029,1,7,2
2003-01-01,1,Ciutat Vella,1,el Raval,893,1,8,1
2003-01-01,1,Ciutat Vella,1,el Raval,919,1,8,2
2003-01-01,1,Ciutat Vella,1,el Raval,804,1,9,1
2003-01-01,1,Ciutat Vella,1,el Raval,863,1,9,2
2003-01-01,1,Ciutat Vella,1,el Raval,766,1,10,1
2003-01-01,1,Ciutat Vella,1,el Raval,889,1,10,2
2003-01-01,1,Ciutat Vella,1,el Raval,814,1,11,1
2003-01-01,1,Ciutat Vella,1,el Raval,939,1,11,2
2003-01-01,1,Ciutat Vella,1,el Raval,730,1,12,1
2003-01-01,1,Ciutat Vella,1,el Raval,832,1,12,2
2003-01-01,1,Ciutat Vella,1,el Raval,1017,1,13,1
2003-01-01,1,Ciutat Vella,1,el Raval,979,1,13,2
2003-01-01,1,Ciutat Vella,1,el Raval,1212,1,14,1
2003-01-01,1,Ciutat Vella,1,el Raval,850,1,14,2
2003-01-01,1,Ciutat Vella,1,el Raval,1237,1,15,1
2003-01-01,1,Ciutat Vella,1,el Raval,704,1,15,2
2003-01-01,1,Ciutat Vella,1,el Raval,925,1,16,1
2003-01-01,1,Ciutat Vella,1,el Raval,377,1,16,2
2003-01-01,1,Ciutat Vella,1,el Raval,486,1,17,1
2003-01-01,1,Ciutat Vella,1,el Raval,182,1,17,2
2003-01-01,1,Ciutat Vella,1,el Raval,225,1,18,1
