Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,EDAT_Q
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,68,0
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,49,1
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,32,2
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,57,3
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,95,4
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,151,5
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,140,6
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,120,7
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,122,8
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,70,9
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,56,10
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,68,11
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,66,12
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,57,13
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,46,14
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,61,15
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,38,16
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,22,17
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,18
2010-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,19
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,53,0
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,52,1
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,53,2
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,69,3
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,117,4
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,166,5
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,173,6
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,144,7
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,127,8
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,87,9
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,64,10
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,64,11
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,35,12
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,37,13
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,52,14
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,60,15
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,64,16
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,45,17
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,16,18
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,19
2010-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,20
2010-01-01,1,Ciutat Vella,1,el Raval,2,1003,195,0
2010-01-01,1,Ciutat Vella,1,el Raval,2,1003,160,1
2010-01-01,1,Ciutat Vella,1,el Raval,2,1003,139,2
2010-01-01,1,Ciutat Vella,1,el Raval,2,1003,171,3
