Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,SEXE,EDAT_Q
2002-01-01,1,Ciutat Vella,1,el Raval,22,1,0
2002-01-01,1,Ciutat Vella,1,el Raval,6,1,1
2002-01-01,1,Ciutat Vella,1,el Raval,..,1,2
2002-01-01,1,Ciutat Vella,1,el Raval,10,1,3
2002-01-01,1,Ciutat Vella,1,el Raval,79,1,4
2002-01-01,1,Ciutat Vella,1,el Raval,207,1,5
2002-01-01,1,Ciutat Vella,1,el Raval,216,1,6
2002-01-01,1,Ciutat Vella,1,el Raval,182,1,7
2002-01-01,1,Ciutat Vella,1,el Raval,128,1,8
2002-01-01,1,Ciutat Vella,1,el Raval,106,1,9
2002-01-01,1,Ciutat Vella,1,el Raval,119,1,10
2002-01-01,1,Ciutat Vella,1,el Raval,122,1,11
2002-01-01,1,Ciutat Vella,1,el Raval,148,1,12
2002-01-01,1,Ciutat Vella,1,el Raval,281,1,13
2002-01-01,1,Ciutat Vella,1,el Raval,418,1,14
2002-01-01,1,Ciutat Vella,1,el Raval,515,1,15
2002-01-01,1,Ciutat Vella,1,el Raval,442,1,16
2002-01-01,1,Ciutat Vella,1,el Raval,267,1,17
2002-01-01,1,Ciutat Vella,1,el Raval,106,1,18
2002-01-01,1,Ciutat Vella,1,el Raval,23,1,19
2002-01-01,1,Ciutat Vella,1,el Raval,..,1,20
2002-01-01,1,Ciutat Vella,1,el Raval,23,2,0
2002-01-01,1,Ciutat Vella,1,el Raval,7,2,1
2002-01-01,1,Ciutat Vella,1,el Raval,..,2,2
2002-01-01,1,Ciutat Vella,1,el Raval,11,2,3
2002-01-01,1,Ciutat Vella,1,el Raval,82,2,4
2002-01-01,1,Ciutat Vella,1,el Raval,209,2,5
2002-01-01,1,Ciutat Vella,1,el Raval,313,2,6
2002-01-01,1,Ciutat Vella,1,el Raval,282,2,7
2002-01-01,1,Ciutat Vella,1,el Raval,215,2,8
2002-01-01,1,Ciutat Vella,1,el Raval,187,2,9
2002-01-01,1,Ciutat Vella,1,el Raval,210,2,10
2002-01-01,1,Ciutat Vella,1,el Raval,213,2,11
2002-01-01,1,Ciutat Vella,1,el Raval,200,2,12
2002-01-01,1,Ciutat Vella,1,el Raval,217,2,13
2002-01-01,1,Ciutat Vella,1,el Raval,193,2,14
2002-01-01,1,Ciutat Vella,1,el Raval,147,2,15
2002-01-01,1,Ciutat Vella,1,el Raval,92,2,16
2002-01-01,1,Ciutat Vella,1,el Raval,43,2,17
2002-01-01,1,Ciutat Vella,1,el Raval,12,2,18
2002-01-01,1,Ciutat Vella,1,el Raval,..,2,19
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1,0
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,1,1
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,1,3
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,33,1,4
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,104,1,5
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,115,1,6
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,105,1,7
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,71,1,8
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,47,1,9
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,52,1,10
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,51,1,11
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,57,1,12
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,91,1,13
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,158,1,14
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,193,1,15
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,176,1,16
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,123,1,17
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,40,1,18
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1,19
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,1,20
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,2,0
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,..,2,2
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,5,2,3
2002-01-01,1,Ciutat Vella,2,el Barri Gòtic,38,2,4
